FIPS,COUNTYNAME,N1,A00100,A00200,A00900,A01000,A01700,A02300,A02500,A26270,A19300,A19700,A10300,A59660,N59660,A11070
31067,Gage County,10470,613600,421026,8949,23246,39641,8300,28347,38587,1773,4334,60366,3078,1440,2107
31069,Garden County,910,31372,23091,1259,2953,4125,715,2263,650,0,0,2908,397,180,221
31071,Garfield County,870,34574,27724,1621,3225,2841,230,1904,1564,0,129,3107,327,140,192
31073,Gosper County,940,64470,36250,2724,3884,4138,354,3549,5629,237,250,6691,218,100,170
31075,Grant County,300,13832,9194,62,1744,1050,0,740,720,0,0,1313,68,30,82
31077,Greeley County,1100,39304,34742,1833,4603,2701,483,2977,3409,0,0,4431,337,160,304
31079,Hall County,30800,1768193,1254761,36215,69451,92016,38768,59591,129651,5786,18373,179560,12083,5340,8390
31081,Hamilton County,4580,337241,211865,7307,16610,15055,3092,14075,29948,1411,3246,37795,986,470,825
31083,Harlan County,1500,75183,52385,1740,4395,5432,641,4535,2488,0,264,7300,384,190,335
31085,Hayes County,400,10838,12716,139,2566,1012,0,1144,750,0,0,1583,125,50,103
31087,Hitchcock County,1270,52296,39708,1687,2725,4251,587,3317,691,0,198,4659,393,180,312
31089,Holt County,4970,230150,182540,11523,22559,11329,1963,11197,21808,538,2113,25116,1480,650,1270
31091,Hooker County,350,12952,10211,425,1405,1090,0,787,426,0,0,972,118,50,74
31093,Howard County,3080,170901,131050,3513,10824,10050,2259,7454,10493,547,666,17105,784,360,596
31095,Jefferson County,3480,204848,125663,3256,14206,10351,1922,9066,14760,386,1050,21577,1054,510,763
31097,Johnson County,2600,102400,77171,2884,4332,7492,1216,4483,1406,0,255,8743,603,290,390
31099,Kearney County,3210,214519,131526,5333,8028,9960,2655,8851,26724,450,1228,24046,810,370,720
31101,Keith County,3940,210096,140993,7594,17730,15078,2553,10858,13551,885,1540,22895,1453,630,897
31103,Keya Paha County,390,9822,9657,734,3017,410,0,746,-513,0,0,1088,81,40,85
31105,Kimball County,1660,78082,56506,2683,3607,6382,1293,4536,838,0,118,7165,505,240,380
31107,Knox County,3930,191658,133218,7051,12571,12312,1856,10774,11627,284,698,19399,1467,600,1057
31109,Lancaster County,154910,10886680,7383999,248219,585619,634957,159157,387002,934381,67514,159969,1323325,41445,19060,27602
31111,Lincoln County,16680,956214,694933,21662,44834,82910,14491,44544,48400,3685,7785,99064,5666,2470,3388
31113,Logan County,330,12385,10508,420,1039,1121,0,682,380,0,0,1070,93,40,80
31115,Loup County,300,10314,7463,375,774,791,0,834,234,0,0,1014,132,60,61
31117,McPherson County,210,7201,4943,122,2111,281,0,367,73,0,0,668,61,20,0
31119,Madison County,17080,1083808,763090,32698,42672,44363,14348,40016,95242,3823,11804,121023,4993,2290,3549
31121,Merrick County,3680,208183,147816,5113,13236,10196,3197,8978,15397,708,1455,21848,1064,500,815
31123,Morrill County,2220,110379,77245,3696,9542,7689,1301,4895,3412,270,553,11833,835,380,521
31125,Nance County,1620,73605,57047,2626,3760,5152,1060,3992,3152,0,117,6896,465,200,343
31127,Nemaha County,3030,181378,134362,4733,4625,9934,2796,7650,6918,296,625,18170,814,370,603
31129,Nuckolls County,2080,110576,69319,4402,5436,7366,1013,6113,4658,0,271,10636,537,270,382
31131,Otoe County,7770,499463,354058,11215,18050,35535,5596,20548,29780,2037,3726,51541,1935,900,1420
31133,Pawnee County,1210,54783,36387,1267,2398,5043,645,3387,1516,0,183,4844,414,190,258
31135,Perkins County,1330,80638,47483,3232,5287,4651,191,4655,7334,0,871,9138,308,150,269
31137,Phelps County,4420,285921,180458,7181,15946,13079,2571,13227,31684,618,3335,32199,1216,540,906
31139,Pierce County,3490,218049,147411,6765,12662,8144,2084,9191,12530,616,1189,25256,834,370,662
31141,Platte County,17330,1094944,777499,19856,46472,46928,14087,42880,83904,3242,8507,108095,4514,2070,3500
31143,Polk County,2640,156853,97837,4265,7123,9235,1330,8354,8096,210,871,15977,622,290,491
31145,Red Willow County,5110,285307,192034,8558,15627,18661,3134,13008,36311,602,1700,34425,1570,680,999
31147,Richardson County,3780,199320,134459,4995,5156,13001,2652,10466,7883,204,1026,18188,1248,570,774
31149,Rock County,670,14752,21056,1461,6032,1255,0,1793,-547,0,0,2948,154,70,133
31151,Saline County,6670,379542,278018,7721,11190,22576,4334,14695,13991,832,1738,34333,1953,910,1658
31153,Sarpy County,93510,7339511,5494133,121854,272524,561571,91985,218799,349690,54038,73060,841064,20087,9230,14952
